ID;Population;Clone;ID_clone;date;Origin;Temperature;CPF;Total;Survived
358;r4;r4.5;r4.5b;06/04/2020;Rural;24 °C;CPF;5;2
375;r4;r4.5;r4.5a;08/04/2020;Rural;20 °C;CPF;5;0
376;r4;r4.5;r4.5a;08/04/2020;Rural;24 °C;CPF;5;0
99;r5;r5.1;r5.1a;25/03/2020;Rural;20 °C;Control;5;5
100;r5;r5.1;r5.1a;25/03/2020;Rural;24 °C;Control;5;5
115;r5;r5.1;r5.1b;25/03/2020;Rural;20 °C;Control;5;5
116;r5;r5.1;r5.1b;25/03/2020;Rural;24 °C;Control;5;5
47;r5;r5.1;r5.1b;23/03/2020;Rural;20 °C;CPF;5;2
48;r5;r5.1;r5.1b;23/03/2020;Rural;24 °C;CPF;5;1
135;r5;r5.1;r5.1a;25/03/2020;Rural;20 °C;CPF;5;1
136;r5;r5.1;r5.1a;25/03/2020;Rural;24 °C;CPF;5;3
145;r5;r5.2;r5.2a;26/03/2020;Rural;20 °C;Control;5;5
146;r5;r5.2;r5.2a;26/03/2020;Rural;24 °C;Control;5;5
395;r5;r5.2;r5.2b;09/04/2020;Rural;20 °C;Control;5;5
396;r5;r5.2;r5.2b;09/04/2020;Rural;24 °C;Control;5;5
125;r5;r5.2;r5.2b;25/03/2020;Rural;20 °C;CPF;5;1
126;r5;r5.2;r5.2b;25/03/2020;Rural;24 °C;CPF;5;1
165;r5;r5.2;r5.2a;26/03/2020;Rural;20 °C;CPF;5;0
166;r5;r5.2;r5.2a;26/03/2020;Rural;24 °C;CPF;5;0
17;r5;r5.3;r5.3b;23/03/2020;Rural;20 °C;Control;5;5
18;r5;r5.3;r5.3b;23/03/2020;Rural;24 °C;Control;5;5
263;r5;r5.3;r5.3a;30/03/2020;Rural;20 °C;Control;5;5
264;r5;r5.3;r5.3a;30/03/2020;Rural;24 °C;Control;5;5
39;r5;r5.3;r5.3b;23/03/2020;Rural;20 °C;CPF;5;2
40;r5;r5.3;r5.3b;23/03/2020;Rural;24 °C;CPF;5;4
133;r5;r5.3;r5.3a;25/03/2020;Rural;20 °C;CPF;5;0
134;r5;r5.3;r5.3a;25/03/2020;Rural;24 °C;CPF;5;0
97;r5;r5.4;r5.4a;25/03/2020;Rural;20 °C;Control;5;5
98;r5;r5.4;r5.4a;25/03/2020;Rural;24 °C;Control;5;5
301;r5;r5.4;r5.4b;02/04/2020;Rural;20 °C;Control;5;5
302;r5;r5.4;r5.4b;02/04/2020;Rural;24 °C;Control;5;4
139;r5;r5.4;r5.4b;25/03/2020;Rural;20 °C;CPF;5;2
140;r5;r5.4;r5.4b;25/03/2020;Rural;24 °C;CPF;5;0
161;r5;r5.4;r5.4a;26/03/2020;Rural;20 °C;CPF;5;0
162;r5;r5.4;r5.4a;26/03/2020;Rural;24 °C;CPF;5;1
361;r5;r5.5;r5.5a;06/04/2020;Rural;20 °C;Control;5;5
362;r5;r5.5;r5.5a;06/04/2020;Rural;24 °C;Control;5;5
371;r5;r5.5;r5.5b;08/04/2020;Rural;20 °C;Control;5;5
372;r5;r5.5;r5.5b;08/04/2020;Rural;24 °C;Control;5;5
239;r5;r5.5;r5.5b;29/03/1930;Rural;20 °C;CPF;5;3
240;r5;r5.5;r5.5b;29/03/2020;Rural;24 °C;CPF;5;2
309;r5;r5.5;r5.5a;02/04/2020;Rural;20 °C;CPF;5;5
310;r5;r5.5;r5.5a;02/04/2020;Rural;24 °C;CPF;5;2
85;u1;u1.1;u1.1b;25/03/2020;Urban;20 °C;Control;5;5
86;u1;u1.1;u1.1b;25/03/2020;Urban;24 °C;Control;5;5
171;u1;u1.1;u1.1a;27/03/2020;Urban;20 °C;Control;5;5
172;u1;u1.1;u1.1a;27/03/2020;Urban;24 °C;Control;5;5
271;u1;u1.1;u1.1b;30/03/2020;Urban;20 °C;CPF;5;3
272;u1;u1.1;u1.1b;30/03/2020;Urban;24 °C;CPF;6;6
363;u1;u1.1;u1.1a;07/04/2020;Urban;20 °C;CPF;5;3
364;u1;u1.1;u1.1a;07/04/2020;Urban;24 °C;CPF;5;1
91;u1;u1.2;u1.2b;25/03/2020;Urban;20 °C;Control;5;5
92;u1;u1.2;u1.2b;25/03/2020;Urban;24 °C;Control;5;5
191;u1;u1.2;u1.2a;28/03/2020;Urban;20 °C;Control;5;5
192;u1;u1.2;u1.2a;28/03/2020;Urban;24 °C;Control;5;5
281;u1;u1.2;u1.2b;31/03/2020;Urban;20 °C;CPF;5;2
282;u1;u1.2;u1.2b;31/03/2020;Urban;24 °C;CPF;5;2
327;u1;u1.2;u1.2a;03/04/2020;Urban;20 °C;CPF;5;0
328;u1;u1.2;u1.2a;03/04/2020;Urban;24 °C;CPF;5;1
223;u1;u1.3;u1.3b;29/03/2020;Urban;20 °C;Control;5;5
224;u1;u1.3;u1.3b;29/03/2020;Urban;24 °C;Control;5;5
259;u1;u1.3;u1.3a;30/03/2020;Urban;20 °C;Control;5;5
260;u1;u1.3;u1.3a;30/03/2020;Urban;24 °C;Control;5;5
117;u1;u1.3;u1.3b;25/03/2020;Urban;20 °C;CPF;5;0
118;u1;u1.3;u1.3b;25/03/2020;Urban;24 °C;CPF;5;0
323;u1;u1.3;u1.3a;03/04/2020;Urban;20 °C;CPF;5;0
324;u1;u1.3;u1.3a;03/04/2020;Urban;24 °C;CPF;5;2
49;u1;u1.4;u1.4b;24/03/2020;Urban;20 °C;Control;5;5
50;u1;u1.4;u1.4b;24/03/2020;Urban;24 °C;Control;5;5
261;u1;u1.4;u1.4a;30/03/2020;Urban;20 °C;Control;5;5
262;u1;u1.4;u1.4a;30/03/2020;Urban;24 °C;Control;5;5
123;u1;u1.4;u1.4b;25/03/2020;Urban;20 °C;CPF;5;0
124;u1;u1.4;u1.4b;25/03/2020;Urban;24 °C;CPF;5;0
255;u1;u1.4;u1.4a;29/03/1930;Urban;20 °C;CPF;5;0
256;u1;u1.4;u1.4a;29/03/2020;Urban;24 °C;CPF;5;0
55;u1;u1.5;u1.5a;24/03/2020;Urban;20 °C;Control;5;5
56;u1;u1.5;u1.5a;24/03/2020;Urban;24 °C;Control;5;5
89;u1;u1.5;u1.5b;25/03/2020;Urban;20 °C;Control;5;5
90;u1;u1.5;u1.5b;25/03/2020;Urban;24 °C;Control;5;5
151;u1;u1.5;u1.5b;26/03/2020;Urban;20 °C;CPF;5;2
152;u1;u1.5;u1.5b;26/03/2020;Urban;24 °C;CPF;5;0
153;u1;u1.5;u1.5a;26/03/2020;Urban;20 °C;CPF;5;1
154;u1;u1.5;u1.5a;26/03/2020;Urban;24 °C;CPF;5;0
215;u2;u2.1;u2.1a;29/03/2020;Urban;20 °C;Control;5;5
216;u2;u2.1;u2.1a;29/03/2020;Urban;24 °C;Control;5;5
219;u2;u2.1;u2.1b;29/03/2020;Urban;20 °C;Control;5;5
220;u2;u2.1;u2.1b;29/03/2020;Urban;24 °C;Control;5;5
21;u2;u2.1;u2.1a;23/03/2020;Urban;20 °C;CPF;5;1
22;u2;u2.1;u2.1a;23/03/2020;Urban;24 °C;CPF;5;2
321;u2;u2.1;u2.1b;03/04/2020;Urban;20 °C;CPF;5;2
322;u2;u2.1;u2.1b;03/04/2020;Urban;24 °C;CPF;5;5
315;u2;u2.2;u2.2b;03/04/2020;Urban;20 °C;Control;5;5
316;u2;u2.2;u2.2b;03/04/2020;Urban;24 °C;Control;5;5
339;u2;u2.2;u2.2a;05/04/2020;Urban;20 °C;Control;5;5
340;u2;u2.2;u2.2a;05/04/2020;Urban;24 °C;Control;5;5
303;u2;u2.2;u2.2a;02/04/2020;Urban;20 °C;CPF;5;5
304;u2;u2.2;u2.2a;02/04/2020;Urban;24 °C;CPF;5;4
325;u2;u2.2;u2.2b;03/04/2020;Urban;20 °C;CPF;5;5
326;u2;u2.2;u2.2b;03/04/2020;Urban;24 °C;CPF;5;1
275;u2;u2.3;u2.3a;31/03/2020;Urban;20 °C;Control;5;5
276;u2;u2.3;u2.3a;31/03/2020;Urban;24 °C;Control;5;5
277;u2;u2.3;u2.3b;31/03/2020;Urban;20 °C;Control;5;5
278;u2;u2.3;u2.3b;31/03/2020;Urban;24 °C;Control;5;5
119;u2;u2.3;u2.3a;25/03/2020;Urban;20 °C;CPF;5;0
120;u2;u2.3;u2.3a;25/03/2020;Urban;24 °C;CPF;5;0
155;u2;u2.3;u2.3b;26/03/2020;Urban;20 °C;CPF;5;2
156;u2;u2.3;u2.3b;26/03/2020;Urban;24 °C;CPF;5;1
53;u2;u2.4;u2.4b;24/03/2020;Urban;20 °C;Control;5;5
54;u2;u2.4;u2.4b;24/03/2020;Urban;24 °C;Control;5;5
169;u2;u2.4;u2.4a;27/03/2020;Urban;20 °C;Control;5;4
170;u2;u2.4;u2.4a;27/03/2020;Urban;24 °C;Control;5;5
201;u2;u2.4;u2.4b;28/03/2020;Urban;20 °C;CPF;5;5
202;u2;u2.4;u2.4b;28/03/2020;Urban;24 °C;CPF;5;5
345;u2;u2.4;u2.4a;05/04/2020;Urban;20 °C;CPF;5;4
346;u2;u2.4;u2.4a;05/04/2020;Urban;24 °C;CPF;5;3
1;u3;u3.1;u3.1b;23/03/2020;Urban;20 °C;Control;5;5
2;u3;u3.1;u3.1b;23/03/2020;Urban;24 °C;Control;5;5
221;u3;u3.1;u3.1a;29/03/2020;Urban;20 °C;Control;5;5
222;u3;u3.1;u3.1a;29/03/2020;Urban;24 °C;Control;5;5
179;u3;u3.1;u3.1b;27/03/2020;Urban;20 °C;CPF;5;5
180;u3;u3.1;u3.1b;27/03/2020;Urban;24 °C;CPF;5;3
197;u3;u3.1;u3.1a;28/03/2020;Urban;20 °C;CPF;5;5
198;u3;u3.1;u3.1a;28/03/2020;Urban;24 °C;CPF;5;5
83;u3;u3.2;u3.2a;25/03/2020;Urban;20 °C;Control;5;5
84;u3;u3.2;u3.2a;25/03/2020;Urban;24 °C;Control;5;5
213;u3;u3.2;u3.2b;29/03/2020;Urban;20 °C;Control;5;5
214;u3;u3.2;u3.2b;29/03/2020;Urban;24 °C;Control;5;5
203;u3;u3.2;u3.2b;28/03/2020;Urban;20 °C;CPF;5;5
204;u3;u3.2;u3.2b;28/03/2020;Urban;24 °C;CPF;5;5
205;u3;u3.2;u3.2a;28/03/2020;Urban;20 °C;CPF;5;5
206;u3;u3.2;u3.2a;28/03/2020;Urban;24 °C;CPF;5;5
9;u3;u3.3;u3.3b;23/03/2020;Urban;20 °C;Control;5;5
10;u3;u3.3;u3.3b;23/03/2020;Urban;24 °C;Control;5;5
337;u3;u3.3;u3.3a;05/04/2020;Urban;20 °C;Control;5;5
338;u3;u3.3;u3.3a;05/04/2020;Urban;24 °C;Control;5;5
181;u3;u3.3;u3.3b;27/03/2020;Urban;20 °C;CPF;5;5
182;u3;u3.3;u3.3b;27/03/2020;Urban;24 °C;CPF;5;4
297;u3;u3.3;u3.3a;01/04/2020;Urban;20 °C;CPF;5;5
298;u3;u3.3;u3.3a;01/04/2020;Urban;24 °C;CPF;5;5
141;u3;u3.4;u3.4b;26/03/2020;Urban;20 °C;Control;5;5
142;u3;u3.4;u3.4b;26/03/2020;Urban;24 °C;Control;5;5
287;u3;u3.4;u3.4a;01/04/2020;Urban;20 °C;Control;5;5
288;u3;u3.4;u3.4a;01/04/2020;Urban;24 °C;Control;5;5
29;u3;u3.4;u3.4b;23/03/2020;Urban;20 °C;CPF;5;4
30;u3;u3.4;u3.4b;23/03/2020;Urban;24 °C;CPF;5;5
67;u3;u3.4;u3.4a;24/03/2020;Urban;20 °C;CPF;5;2
68;u3;u3.4;u3.4a;24/03/2020;Urban;24 °C;CPF;5;0
187;u3;u3.5;u3.5a;27/03/2020;Urban;20 °C;Control;5;5
188;u3;u3.5;u3.5a;27/03/2020;Urban;24 °C;Control;5;5
331;u3;u3.5;u3.5b;05/04/2020;Urban;20 °C;Control;5;5
332;u3;u3.5;u3.5b;05/04/2020;Urban;24 °C;Control;5;5
25;u3;u3.5;u3.5a;23/03/2020;Urban;20 °C;CPF;5;5
26;u3;u3.5;u3.5a;23/03/2020;Urban;24 °C;CPF;5;2
69;u3;u3.5;u3.5b;24/03/2020;Urban;20 °C;CPF;5;1
70;u3;u3.5;u3.5b;24/03/2020;Urban;24 °C;CPF;5;0
51;u4;u4.1;u4.1a;24/03/2020;Urban;20 °C;Control;5;5
52;u4;u4.1;u4.1a;24/03/2020;Urban;24 °C;Control;5;5
185;u4;u4.1;u4.1b;27/03/2020;Urban;20 °C;Control;5;5
186;u4;u4.1;u4.1b;27/03/2020;Urban;24 °C;Control;5;5
175;u4;u4.1;u4.1a;27/03/2020;Urban;20 °C;CPF;5;5
176;u4;u4.1;u4.1a;27/03/2020;Urban;24 °C;CPF;5;3
177;u4;u4.1;u4.1b;27/03/2020;Urban;20 °C;CPF;5;2
178;u4;u4.1;u4.1b;27/03/2020;Urban;24 °C;CPF;5;5
3;u4;u4.2;u4.2a;23/03/2020;Urban;20 °C;Control;5;5
4;u4;u4.2;u4.2a;23/03/2020;Urban;24 °C;Control;5;5
5;u4;u4.2;u4.2b;23/03/2020;Urban;20 °C;Control;5;5
6;u4;u4.2;u4.2b;23/03/2020;Urban;24 °C;Control;5;5
33;u4;u4.2;u4.2a;23/03/2020;Urban;20 °C;CPF;5;2
34;u4;u4.2;u4.2a;23/03/2020;Urban;24 °C;CPF;5;0
199;u4;u4.2;u4.2b;28/03/2020;Urban;20 °C;CPF;5;1
200;u4;u4.2;u4.2b;28/03/2020;Urban;24 °C;CPF;5;3
351;u4;u4.3;u4.3b;06/04/2020;Urban;20 °C;Control;5;5
352;u4;u4.3;u4.3b;06/04/2020;Urban;24 °C;Control;5;5
353;u4;u4.3;u4.3a;06/04/2020;Urban;20 °C;Control;5;5
354;u4;u4.3;u4.3a;06/04/2020;Urban;24 °C;Control;5;5
347;u4;u4.3;u4.3a;05/04/2020;Urban;20 °C;CPF;5;1
348;u4;u4.3;u4.3a;05/04/2020;Urban;24 °C;CPF;5;4
373;u4;u4.3;u4.3b;08/04/2020;Urban;20 °C;CPF;5;4
374;u4;u4.3;u4.3b;08/04/2020;Urban;24 °C;CPF;5;2
335;u4;u4.4;u4.4a;05/04/2020;Urban;20 °C;Control;5;5
336;u4;u4.4;u4.4a;05/04/2020;Urban;24 °C;Control;5;5
349;u4;u4.4;u4.4b;06/04/2020;Urban;20 °C;Control;5;5
350;u4;u4.4;u4.4b;06/04/2020;Urban;24 °C;Control;5;5
267;u4;u4.4;u4.4a;30/03/2020;Urban;20 °C;CPF;5;3
268;u4;u4.4;u4.4a;30/03/2020;Urban;24 °C;CPF;5;0
355;u4;u4.4;u4.4b;06/04/2020;Urban;20 °C;CPF;5;0
356;u4;u4.4;u4.4b;06/04/2020;Urban;24 °C;CPF;5;0
81;u4;u4.5;u4.5a;25/03/2020;Urban;20 °C;Control;5;5
82;u4;u4.5;u4.5a;25/03/2020;Urban;24 °C;Control;5;5
291;u4;u4.5;u4.5b;01/04/2020;Urban;20 °C;Control;5;5
292;u4;u4.5;u4.5b;01/04/2020;Urban;24 °C;Control;5;5
73;u4;u4.5;u4.5b;24/03/2020;Urban;20 °C;CPF;5;4
74;u4;u4.5;u4.5b;24/03/2020;Urban;24 °C;CPF;5;3
173;u4;u4.5;u4.5a;27/03/2020;Urban;20 °C;CPF;5;2
174;u4;u4.5;u4.5a;27/03/2020;Urban;24 °C;CPF;5;2
